data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-10-24,12-39,475,22,78,18,1,119,0.7997,0.0370,0.1313,0.0303,0.0017,0.2003,180
2021-10-24,40-59,991,31,202,50,1,284,0.7773,0.0243,0.1584,0.0392,0.0008,0.2227,180
2021-10-24,60-79,985,56,830,63,9,958,0.5069,0.0288,0.4272,0.0324,0.0046,0.4931,180
2021-10-24,80+,439,35,664,487,6,1192,0.2692,0.0215,0.4071,0.2986,0.0037,0.7308,180
2021-10-24,totale,2890,144,1744,618,17,2523,0.5339,0.0266,0.3222,0.1142,0.0031,0.4661,180
2021-10-31,12-39,476,43,94,20,1,158,0.7508,0.0678,0.1483,0.0315,0.0016,0.2492,180
2021-10-31,40-59,1055,64,260,53,2,379,0.7357,0.0446,0.1813,0.0370,0.0014,0.2643,180
2021-10-31,60-79,1181,28,1016,94,17,1155,0.5056,0.0120,0.4349,0.0402,0.0073,0.4944,180
2021-10-31,80+,508,25,705,659,15,1404,0.2657,0.0131,0.3687,0.3447,0.0078,0.7343,180
2021-10-31,totale,3220,160,2075,826,35,3096,0.5098,0.0253,0.3285,0.1308,0.0055,0.4902,180
2021-11-07,12-39,505,25,121,33,1,180,0.7372,0.0365,0.1766,0.0482,0.0015,0.2628,180
2021-11-07,40-59,1251,35,325,81,5,446,0.7372,0.0206,0.1915,0.0477,0.0029,0.2628,180
2021-11-07,60-79,1369,70,1281,174,31,1556,0.4680,0.0239,0.4379,0.0595,0.0106,0.5320,180
2021-11-07,80+,612,52,710,899,32,1693,0.2655,0.0226,0.3080,0.3900,0.0139,0.7345,180
2021-11-07,totale,3737,182,2437,1187,69,3875,0.4909,0.0239,0.3202,0.1559,0.0091,0.5091,180
2021-11-14,12-39,496,30,114,49,1,194,0.7188,0.0435,0.1652,0.0710,0.0014,0.2812,150
2021-11-14,40-59,1264,38,259,178,6,481,0.7244,0.0218,0.1484,0.1020,0.0034,0.2756,150
2021-11-14,60-79,1374,87,834,670,32,1623,0.4585,0.0290,0.2783,0.2236,0.0107,0.5415,150
2021-11-14,80+,599,62,228,1439,35,1764,0.2535,0.0262,0.0965,0.6090,0.0148,0.7465,150
2021-11-14,totale,3733,217,1435,2336,74,4062,0.4789,0.0278,0.1841,0.2997,0.0095,0.5211,150
2021-11-21,12-39,540,29,131,66,1,227,0.7040,0.0378,0.1708,0.0860,0.0013,0.2960,150
2021-11-21,40-59,1462,48,299,231,13,591,0.7121,0.0234,0.1456,0.1125,0.0063,0.2879,150
2021-11-21,60-79,1672,100,973,922,49,2044,0.4499,0.0269,0.2618,0.2481,0.0132,0.5501,150
2021-11-21,80+,728,70,213,1697,58,2038,0.2632,0.0253,0.0770,0.6135,0.0210,0.7368,150
2021-11-21,totale,4402,247,1616,2916,121,4900,0.4732,0.0266,0.1737,0.3135,0.0130,0.5268,150
2021-11-28,12-39,586,32,149,77,3,261,0.6919,0.0378,0.1759,0.0909,0.0035,0.3081,150
2021-11-28,40-59,1691,51,349,271,17,688,0.7108,0.0214,0.1467,0.1139,0.0071,0.2892,150
2021-11-28,60-79,1957,110,1126,1165,56,2457,0.4434,0.0249,0.2551,0.2639,0.0127,0.5566,150
2021-11-28,80+,847,91,219,1919,100,2329,0.2667,0.0287,0.0690,0.6042,0.0315,0.7333,150
2021-11-28,totale,5081,284,1843,3432,176,5735,0.4698,0.0263,0.1704,0.3173,0.0163,0.5302,150
2021-12-05,12-39,602,33,185,93,7,318,0.6543,0.0359,0.2011,0.1011,0.0076,0.3457,150
2021-12-05,40-59,1997,60,360,333,24,777,0.7199,0.0216,0.1298,0.1200,0.0087,0.2801,150
2021-12-05,60-79,2321,121,1293,1485,89,2988,0.4372,0.0228,0.2435,0.2797,0.0168,0.5628,150
2021-12-05,80+,1024,102,227,2136,152,2617,0.2812,0.0280,0.0623,0.5867,0.0417,0.7188,150
2021-12-05,totale,5944,316,2065,4047,272,6700,0.4701,0.0250,0.1633,0.3201,0.0215,0.5299,150
2021-12-12,12-39,684,36,177,140,8,361,0.6545,0.0344,0.1694,0.1340,0.0077,0.3455,120
2021-12-12,40-59,2350,67,180,598,34,879,0.7278,0.0207,0.0557,0.1852,0.0105,0.2722,120
2021-12-12,60-79,2794,142,475,2747,114,3478,0.4455,0.0226,0.0757,0.4380,0.0182,0.5545,120
2021-12-12,80+,1231,113,102,2442,212,2869,0.3002,0.0276,0.0249,0.5956,0.0517,0.6998,120
2021-12-12,totale,7059,358,934,5927,368,7587,0.4820,0.0244,0.0638,0.4047,0.0251,0.5180,120
2021-12-19,12-39,808,43,222,185,17,467,0.6337,0.0337,0.1741,0.1451,0.0133,0.3663,120
2021-12-19,40-59,2691,81,185,719,46,1031,0.7230,0.0218,0.0497,0.1932,0.0124,0.2770,120
2021-12-19,60-79,3262,167,388,3159,162,3876,0.4570,0.0234,0.0544,0.4426,0.0227,0.5430,120
2021-12-19,80+,1517,119,110,2549,321,3099,0.3286,0.0258,0.0238,0.5522,0.0695,0.6714,120
2021-12-19,totale,8278,410,905,6612,546,8473,0.4942,0.0245,0.0540,0.3947,0.0326,0.5058,120
2021-12-26,12-39,949,62,370,394,63,889,0.5163,0.0337,0.2144,0.2013,0.0343,0.4837,120
2021-12-26,40-59,3047,95,224,918,93,1330,0.6961,0.0217,0.2097,0.0512,0.0212,0.3039,120
2021-12-26,60-79,3805,201,339,3659,290,4489,0.4588,0.0242,0.4412,0.0409,0.0350,0.5412,120
2021-12-26,80+,1763,121,122,2623,509,3375,0.3431,0.0236,0.5105,0.0237,0.0991,0.6569,120
2021-12-26,totale,9564,479,1055,7594,955,10083,0.4868,0.0244,0.3865,0.0537,0.0486,0.5132,120
2022-01-02,12-39,1305,134,653,830,147,1764,0.4252,0.0437,0.2128,0.2704,0.0479,0.5748,120
2022-01-02,40-59,3520,136,340,1369,282,2127,0.6233,0.0241,0.0602,0.2424,0.0499,0.3767,120
