data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2021-12-19,12-39,2765891,777996,7068764,6157614,666000,14670374,0.1586,0.0446,0.4054,0.3531,0.0382,0.8414,120
2021-12-19,40-59,2553007,493603,3396844,10069702,1918446,15878595,0.1385,0.0268,0.1843,0.5463,0.1041,0.8615,120
2021-12-19,60-79,1136914,224964,1066673,8153620,2989837,12435094,0.0838,0.0166,0.0786,0.6008,0.2203,0.9162,120
2021-12-19,80+,204451,82201,116336,1638547,2528535,4365619,0.0447,0.0180,0.0255,0.3585,0.5533,0.9553,120
2021-12-19,totale,6660263,1578764,11648617,26019483,8102818,47349682,0.1233,0.0292,0.2157,0.4818,0.1500,0.8767,120
2021-12-12,12-39,2892447,725242,8126842,5268071,423663,14543818,0.1659,0.0416,0.4661,0.3021,0.0243,0.8341,120
2021-12-12,40-59,2613841,477140,3966242,10284069,1090310,15817761,0.1418,0.0259,0.2152,0.5580,0.0592,0.8582,120
2021-12-12,60-79,1161325,220084,1369229,8856454,1964916,12410683,0.0856,0.0162,0.1009,0.6526,0.1448,0.9144,120
2021-12-12,80+,209075,81702,123583,1939660,2216050,4360995,0.0457,0.0179,0.0270,0.4244,0.4849,0.9543,120
2021-12-12,totale,6876688,1504168,13585896,26348254,5694939,47133257,0.1273,0.0278,0.2515,0.4878,0.1054,0.8727,120
2021-12-05,12-39,2975787,720302,11703960,1732475,303031,14459768,0.1707,0.0413,0.6713,0.0994,0.0174,0.8293,150
2021-12-05,40-59,2660294,480092,10419635,4198662,673393,15771782,0.1443,0.0260,0.5653,0.2278,0.0365,0.8557,150
2021-12-05,60-79,1182593,220503,5818214,5081877,1269417,12390011,0.0871,0.0162,0.4287,0.3744,0.0935,0.9129,150
2021-12-05,80+,212977,81484,280852,2106970,1887426,4356732,0.0466,0.0178,0.0615,0.4611,0.4130,0.9534,150
2021-12-05,totale,7031651,1502381,28222661,13119984,4133267,46978293,0.1302,0.0278,0.5225,0.2429,0.0765,0.8698,150
2021-11-28,12-39,3046339,760046,11830250,1578817,220103,14389216,0.1747,0.0436,0.6785,0.0906,0.0126,0.8253,150
2021-11-28,40-59,2698233,510539,11123676,3617248,482380,15733843,0.1464,0.0277,0.6035,0.1962,0.0262,0.8536,150
2021-11-28,60-79,1199938,224492,6667214,4672711,808249,12372666,0.0884,0.0165,0.4912,0.3443,0.0596,0.9116,150
2021-11-28,80+,216424,82183,35458,2385897,1549747,4053285,0.0507,0.0192,0.0083,0.5588,0.3630,0.9493,150
2021-11-28,totale,7160934,1577260,29656598,12254673,3060479,46549010,0.1333,0.0294,0.5522,0.2282,0.0570,0.8667,150
2021-11-21,12-39,3117673,846923,11837411,1480136,153412,14317882,0.1788,0.0486,0.6789,0.0849,0.0088,0.8212,150
2021-11-21,40-59,2738676,580411,11437752,3337413,338999,15694575,0.1486,0.0315,0.6205,0.1811,0.0184,0.8514,150
2021-11-21,60-79,1216945,238362,7177885,4433814,505773,12355834,0.0897,0.0176,0.5288,0.3267,0.0373,0.9103,150
2021-11-21,80+,218428,83911,376383,2698556,1191081,4349931,0.0478,0.0184,0.0824,0.5907,0.2607,0.9522,150
2021-11-21,totale,7291722,1749607,30829431,11949919,2189265,46718222,0.1350,0.0324,0.5708,0.2213,0.0405,0.8650,150
2021-11-14,12-39,3180652,964114,11859483,1322655,108651,14254903,0.1824,0.0553,0.6802,0.0759,0.0062,0.8176,150
2021-11-14,40-59,2773086,675704,11757888,2980785,245788,15660165,0.1504,0.0367,0.6379,0.1617,0.0133,0.8496,150
2021-11-14,60-79,1229843,255658,7584288,4165966,337024,12342936,0.0906,0.0188,0.5588,0.3069,0.0248,0.9094,150
2021-11-14,80+,221018,85655,420620,2938453,902613,4347341,0.0484,0.0187,0.0921,0.6432,0.1976,0.9516,150
2021-11-14,totale,7404599,1981131,31622279,11407859,1594076,46605345,0.1371,0.0367,0.5855,0.2112,0.0295,0.8629,150
2021-11-07,12-39,3271713,1087094,12382786,638196,55766,14163842,0.1876,0.0623,0.7102,0.0366,0.0032,0.8124,150
2021-11-07,40-59,2832244,774605,13640735,1030331,155336,15601007,0.1536,0.0420,0.7400,0.0559,0.0084,0.8464,150
2021-11-07,60-79,1254000,272933,11051025,779291,215530,12318779,0.0924,0.0201,0.8142,0.0574,0.0159,0.9076,150
2021-11-07,80+,228056,88040,1584000,2078888,589375,4340303,0.0499,0.0193,0.3467,0.4551,0.1290,0.9501,150
